time_fs,T_md_K,T_ww_K,DeltaT_K
18700.0000000000,1185.0521898800,1205.8505698400,-20.7983799600
18750.0000000000,1218.7943159600,1209.8062919200,8.9880240400
18800.0000000000,1211.7387402800,1201.9867885100,9.7519517700
18850.0000000000,1179.3083129600,1201.9222583300,-22.6139453700
18900.0000000000,1190.8139153700,1201.5971436100,-10.7832282400
18950.0000000000,1178.8398029900,1189.9771965500,-11.1373935600
19000.0000000000,1191.2317868700,1199.7401511500,-8.5083642800
19050.0000000000,1204.6051364000,1201.2229265600,3.3822098400
19100.0000000000,1172.0412483600,1192.4532809900,-20.4120326300
19150.0000000000,1187.7765610500,1201.5710124900,-13.7944514400
19200.0000000000,1195.3845174300,1200.0412230200,-4.6567055900
19250.0000000000,1199.3357467000,1206.7975241600,-7.4617774600
19300.0000000000,1228.1707510500,1200.1390124200,28.0317386300
19350.0000000000,1175.1603840100,1214.3752198100,-39.2148358000
19400.0000000000,1204.9092292000,1207.0912669900,-2.1820377900
19450.0000000000,1215.3393272300,1218.3211345700,-2.9818073400
19500.0000000000,1185.7893178200,1216.2476986600,-30.4583808400
19550.0000000000,1196.9507879200,1212.8611000100,-15.9103120900
19600.0000000000,1191.2264629400,1211.6822945600,-20.4558316200
19650.0000000000,1182.1104960300,1206.9506746500,-24.8401786200
19700.0000000000,1175.5063134800,1203.6583071600,-28.1519936800
19750.0000000000,1217.3941192600,1196.3713732500,21.0227460100
19800.0000000000,1188.7348368000,1195.7923306200,-7.0574938200
19850.0000000000,1206.6835085600,1194.9901970400,11.6933115200
19900.0000000000,1183.7744391200,1198.7809855500,-15.0065464300
19950.0000000000,1217.3775095400,1203.7956224800,13.5818870600
20000.0000000000,1259.1362943800,1282.4436238200,-23.3073294400
20050.0000000000,1261.0852388100,1261.1402417500,-0.0550029400
20100.0000000000,1277.3861470100,1245.2619466500,32.1242003600
20150.0000000000,1242.7075986500,1222.3112479000,20.3963507500
20200.0000000000,1243.6803273300,1215.4895755600,28.1907517700
20250.0000000000,1254.4202058800,1210.9264236700,43.4937822100
20300.0000000000,1230.0091592500,1221.9171251500,8.0920341000
20350.0000000000,1232.9377922700,1231.8891286300,1.0486636400
20400.0000000000,1251.3041025900,1255.8898879700,-4.5857853800
20450.0000000000,1244.2248745900,1271.1109416900,-26.8860671000
20500.0000000000,1243.1613308300,1284.2250286000,-41.0636977700
20550.0000000000,1232.0568441400,1279.1240511100,-47.0672069700
20600.0000000000,1247.6206972400,1281.2522837100,-33.6315864700
20650.0000000000,1253.0877837300,1262.8033254300,-9.7155417000
20700.0000000000,1243.8854654800,1245.8101556100,-1.9246901300
20750.0000000000,1244.7713017600,1226.8936032200,17.8776985400
20800.0000000000,1242.6251240800,1211.8368417500,30.7882823300
20850.0000000000,1241.9012155200,1215.3330685800,26.5681469400
20900.0000000000,1276.8345891000,1213.3967930100,63.4377960900
20950.0000000000,1226.2520110500,1222.8359535500,3.4160575000
21000.0000000000,1220.3595794500,1232.5483191800,-12.1887397300
21050.0000000000,1240.2799143100,1256.8848312800,-16.6049169700
21100.0000000000,1232.4097068800,1267.5549061400,-35.1451992600
21150.0000000000,1275.1983149700,1286.5202028800,-11.3218879100
21200.0000000000,1253.9119131700,1304.5936602500,-50.6817470800
21250.0000000000,1240.4330522900,1289.3305151900,-48.8974629000
21300.0000000000,1227.9559515500,1269.9405090300,-41.9845574800
21350.0000000000,1238.8046129400,1252.3601152000,-13.5555022600
21400.0000000000,1265.0172149400,1231.1644324900,33.8527824500
